"Age","BusinessTravel","Department","DistanceFromHome","Education","EducationField","EnvironmentSatisfaction","Gender","JobInvolvement","JobSatisfaction","PerformanceRating","JobLevel","JobRole","MaritalStatus","MonthlyIncome","NumCompaniesWorked","OverTime","PercentSalaryHike","RelationshipSatisfaction","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager","Attrition"
40,"Travel_Rarely","Research & Development",2,"College","Medical","Low","Male","High","High","Excellent",5,"Research Director","Divorced",19436,0,"No",19,"Very High",1,22,5,"Better",21,7,3,9,"No"
51,"Travel_Rarely","Research & Development",1,"Bachelor","Life Sciences","High","Male","High","Very High","Excellent",1,"Research Scientist","Married",2723,1,"No",11,"Medium",0,1,0,"Good",1,0,0,0,"No"
31,"Travel_Frequently","Research & Development",29,"College","Medical","High","Male","Medium","Medium","Excellent",1,"Laboratory Technician","Single",3479,0,"No",11,"Medium",0,6,2,"Best",5,4,1,4,"Yes"
32,"Travel_Frequently","Research & Development",7,"Bachelor","Life Sciences","Medium","Male","Very High","Medium","Outstanding",1,"Laboratory Technician","Married",2794,1,"No",20,"High",0,5,3,"Bad",5,1,0,3,"No"
38,"Non-Travel","Sales",2,"College","Life Sciences","Very High","Male","Medium","Very High","Excellent",2,"Sales Executive","Married",5249,3,"No",18,"Very High",1,13,0,"Better",8,7,7,5,"No"
32,"Travel_Rarely","Research & Development",2,"Below College","Technical Degree","Very High","Male","Medium","Low","Excellent",2,"Laboratory Technician","Single",2176,4,"No",13,"Very High",0,9,5,"Better",6,2,0,4,"No"
46,"Travel_Rarely","Sales",2,"Bachelor","Technical Degree","High","Female","Low","Medium","Excellent",4,"Manager","Married",16872,3,"Yes",12,"Medium",1,28,2,"Good",7,7,7,7,"No"
28,"Travel_Rarely","Research & Development",2,"Master","Life Sciences","Low","Male","High","High","Excellent",1,"Laboratory Technician","Single",3485,2,"No",11,"High",0,5,5,"Bad",0,0,0,0,"Yes"
29,"Travel_Rarely","Sales",2,"Bachelor","Medical","Low","Male","Medium","Medium","Excellent",2,"Sales Executive","Married",6644,2,"No",19,"Medium",2,10,2,"Better",0,0,0,0,"No"
31,"Travel_Rarely","Research & Development",23,"Bachelor","Medical","Medium","Male","Medium","Very High","Outstanding",2,"Healthcare Representative","Married",5582,0,"No",21,"Medium",1,10,2,"Better",9,0,7,8,"No"
25,"Non-Travel","Research & Development",5,"College","Life Sciences","Medium","Male","Very High","Low","Excellent",2,"Healthcare Representative","Divorced",4000,1,"No",12,"Very High",2,6,2,"Better",6,3,1,5,"No"
45,"Travel_Rarely","Research & Development",20,"College","Medical","High","Male","High","Very High","Excellent",4,"Healthcare Representative","Married",13496,0,"Yes",14,"Medium",0,21,2,"Better",20,7,4,10,"No"
36,"Travel_Rarely","Research & Development",6,"Bachelor","Life Sciences","Very High","Male","High","Very High","Excellent",1,"Laboratory Technician","Married",3210,0,"No",11,"High",1,16,4,"Better",15,13,10,11,"No"
55,"Travel_Rarely","Research & Development",1,"Bachelor","Medical","Very High","Male","High","Low","Excellent",5,"Manager","Single",19045,0,"Yes",14,"High",0,37,2,"Better",36,10,4,13,"No"
47,"Non-Travel","Research & Development",29,"Master","Life Sciences","Low","Male","High","Medium","Excellent",3,"Manager","Married",11849,1,"Yes",12,"Very High",1,10,2,"Good",10,7,9,9,"Yes"
28,"Travel_Rarely","Research & Development",9,"Bachelor","Medical","Very High","Male","High","Very High","Outstanding",1,"Research Scientist","Married",2070,1,"No",23,"Very High",1,5,3,"Good",5,2,0,4,"No"
37,"Travel_Rarely","Sales",6,"Master","Medical","High","Male","High","Very High","Excellent",2,"Sales Executive","Married",6502,4,"No",14,"Medium",1,7,5,"Best",5,4,0,1,"No"
21,"Travel_Rarely","Research & Development",3,"College","Medical","Very High","Male","Medium","High","Excellent",1,"Research Scientist","Single",3230,1,"No",17,"Low",0,3,4,"Best",3,2,1,0,"No"
37,"Non-Travel","Research & Development",1,"Master","Medical","Low","Female","High","Very High","Excellent",3,"Research Director","Divorced",13603,2,"Yes",18,"Low",2,15,2,"Better",5,2,0,2,"No"
35,"Travel_Rarely","Research & Development",22,"Bachelor","Life Sciences","Medium","Female","Very High","Medium","Excellent",3,"Manager","Divorced",11996,7,"No",18,"Medium",1,10,6,"Good",7,7,6,2,"No"
38,"Travel_Rarely","Sales",7,"College","Medical","Low","Female","Very High","Low","Outstanding",2,"Sales Executive","Divorced",5605,1,"Yes",24,"High",1,8,3,"Better",8,0,7,7,"No"
26,"Travel_Frequently","Research & Development",1,"Bachelor","Life Sciences","High","Female","High","Medium","Outstanding",2,"Manufacturing Director","Divorced",6397,1,"No",20,"Low",1,6,6,"Bad",6,5,1,4,"No"
50,"Travel_Rarely","Research & Development",4,"Below College","Life Sciences","Low","Male","High","Medium","Excellent",5,"Research Director","Divorced",19144,3,"No",14,"Low",2,28,4,"Good",10,4,1,6,"No"
53,"Travel_Rarely","Research & Development",3,"Master","Medical","High","Male","High","High","Excellent",4,"Research Director","Married",17584,3,"Yes",16,"Very High",3,21,5,"Good",5,3,1,3,"No"
42,"Travel_Rarely","Sales",1,"Below College","Life Sciences","Medium","Male","High","High","Outstanding",2,"Sales Executive","Married",4907,1,"No",25,"High",0,20,3,"Better",20,16,11,6,"No"
29,"Travel_Frequently","Sales",2,"College","Life Sciences","Medium","Male","High","Very High","Excellent",2,"Sales Executive","Single",4554,1,"No",18,"Low",0,10,3,"Good",10,7,0,9,"No"
55,"Travel_Rarely","Research & Development",20,"College","Technical Degree","Medium","Male","High","Very High","Excellent",2,"Laboratory Technician","Married",5415,3,"Yes",19,"Very High",1,12,4,"Better",10,7,0,8,"No"
26,"Travel_Frequently","Research & Development",11,"College","Medical","Low","Male","High","Low","Excellent",2,"Healthcare Representative","Married",4741,1,"Yes",13,"High",1,5,3,"Better",5,3,3,3,"No"
37,"Travel_Rarely","Research & Development",1,"Bachelor","Life Sciences","Very High","Female","High","Very High","Excellent",1,"Research Scientist","Single",2115,1,"No",12,"Medium",0,17,3,"Better",17,12,5,7,"No"
44,"Travel_Frequently","Research & Development",24,"Bachelor","Life Sciences","Very High","Male","High","High","Outstanding",1,"Laboratory Technician","Divorced",3161,3,"Yes",22,"Very High",1,19,0,"Bad",1,0,0,0,"Yes"
38,"Travel_Rarely","Research & Development",23,"Master","Life Sciences","Very High","Male","High","Very High","Excellent",2,"Healthcare Representative","Divorced",5745,9,"No",14,"Medium",1,10,2,"Better",2,2,1,2,"No"
26,"Travel_Rarely","Research & Development",16,"Master","Medical","Low","Male","High","Medium","Excellent",1,"Laboratory Technician","Divorced",2373,2,"Yes",13,"Very High",1,5,2,"Better",3,2,0,2,"Yes"
28,"Travel_Rarely","Research & Development",8,"College","Life Sciences","Very High","Female","High","Very High","Outstanding",1,"Research Scientist","Single",3310,1,"No",21,"Very High",0,5,3,"Better",5,3,0,2,"No"
49,"Travel_Frequently","Research & Development",10,"Master","Life Sciences","High","Female","High","Low","Excellent",5,"Research Director","Single",18665,9,"Yes",11,"Very High",0,22,4,"Better",3,2,1,2,"No"
36,"Travel_Rarely","Research & Development",3,"Bachelor","Technical Degree","High","Male","High","Medium","Excellent",2,"Research Scientist","Single",4485,4,"No",12,"Very High",0,10,2,"Better",8,0,7,7,"No"
31,"Travel_Frequently","Sales",5,"Bachelor","Marketing","Very High","Female","High","Medium","Excellent",1,"Sales Representative","Divorced",2789,1,"No",11,"High",1,2,5,"Good",2,2,2,2,"No"
26,"Travel_Rarely","Sales",4,"Master","Marketing","Very High","Male","Medium","Very High","Excellent",2,"Sales Executive","Single",5828,1,"Yes",12,"Medium",0,8,0,"Better",8,7,7,4,"Yes"
37,"Travel_Frequently","Research & Development",9,"Bachelor","Medical","Medium","Male","High","Very High","Excellent",1,"Research Scientist","Married",2326,1,"Yes",12,"High",3,4,3,"Good",4,2,1,2,"No"
42,"Travel_Frequently","Sales",26,"Bachelor","Marketing","High","Female","High","Medium","Excellent",4,"Sales Executive","Married",13525,5,"No",14,"Very High",1,23,2,"Best",20,4,4,8,"No"
18,"Travel_Rarely","Research & Development",3,"Bachelor","Life Sciences","High","Male","High","High","Excellent",1,"Laboratory Technician","Single",1420,1,"No",13,"High",0,0,2,"Better",0,0,0,0,"Yes"
35,"Travel_Rarely","Sales",16,"Bachelor","Marketing","High","Male","High","Medium","Excellent",3,"Sales Executive","Married",8020,0,"No",15,"High",2,12,3,"Good",11,9,6,9,"No"
36,"Travel_Frequently","Research & Development",18,"Master","Life Sciences","High","Male","Very High","Very High","Excellent",1,"Laboratory Technician","Married",3688,4,"No",18,"Very High",2,4,2,"Better",1,0,0,0,"No"
51,"Travel_Rarely","Research & Development",2,"Bachelor","Medical","Very High","Male","Low","Medium","Excellent",2,"Manufacturing Director","Divorced",5482,5,"No",18,"Very High",1,13,3,"Better",4,1,1,2,"No"
41,"Travel_Rarely","Sales",2,"Master","Life Sciences","Very High","Male","High","Medium","Excellent",4,"Manager","Single",16015,1,"No",19,"Medium",0,22,2,"Better",22,10,0,4,"No"
18,"Travel_Rarely","Sales",10,"Bachelor","Medical","Very High","Female","Medium","High","Excellent",1,"Sales Representative","Single",1200,1,"No",12,"Low",0,0,2,"Better",0,0,0,0,"No"
28,"Travel_Rarely","Research & Development",16,"College","Medical","Medium","Male","Very High","Low","Excellent",2,"Healthcare Representative","Single",5661,0,"No",19,"High",0,9,2,"Better",8,3,0,7,"No"
31,"Travel_Rarely","Sales",7,"Bachelor","Technical Degree","Medium","Male","Very High","Very High","Excellent",2,"Sales Executive","Married",6929,4,"No",11,"Medium",1,10,3,"Good",8,7,7,7,"No"
39,"Travel_Rarely","Research & Development",1,"Bachelor","Medical","High","Male","Very High","Very High","Excellent",3,"Healthcare Representative","Divorced",9613,0,"No",17,"Low",3,19,5,"Good",18,10,3,7,"No"
36,"Non-Travel","Research & Development",24,"Master","Life Sciences","Medium","Female","High","Medium","Excellent",2,"Laboratory Technician","Married",5674,7,"No",15,"High",1,11,3,"Better",9,8,0,8,"No"
32,"Travel_Rarely","Sales",7,"Bachelor","Life Sciences","Very High","Male","Medium","High","Excellent",2,"Sales Executive","Married",5484,1,"No",14,"High",1,13,3,"Good",13,8,4,8,"No"
38,"Travel_Rarely","Research & Development",25,"College","Life Sciences","Low","Female","Medium","Medium","Excellent",3,"Research Director","Married",12061,3,"No",17,"High",1,19,2,"Better",10,8,0,1,"No"
58,"Non-Travel","Research & Development",1,"Master","Life Sciences","Very High","Male","Low","High","Excellent",2,"Healthcare Representative","Divorced",5660,2,"Yes",13,"Very High",1,12,2,"Better",5,3,1,2,"No"
31,"Travel_Rarely","Research & Development",5,"Master","Technical Degree","High","Male","High","Very High","Excellent",1,"Research Scientist","Married",4821,0,"Yes",12,"High",1,6,4,"Better",5,2,0,3,"No"
31,"Travel_Rarely","Human Resources",2,"Bachelor","Human Resources","Low","Male","Medium","Low","Excellent",2,"Human Resources","Married",6410,3,"No",12,"Very High",0,9,1,"Better",2,2,1,0,"No"
45,"Travel_Frequently","Research & Development",7,"Bachelor","Life Sciences","Low","Male","High","Low","Excellent",3,"Laboratory Technician","Divorced",5210,1,"No",18,"Low",1,24,2,"Better",24,9,9,11,"No"
31,"Travel_Rarely","Research & Development",2,"Master","Life Sciences","High","Male","High","Very High","Excellent",1,"Research Scientist","Divorced",2695,0,"Yes",18,"Medium",1,3,2,"Bad",2,2,2,2,"No"
33,"Travel_Frequently","Research & Development",5,"Master","Life Sciences","Very High","Female","High","Medium","Excellent",3,"Manager","Married",11878,6,"No",11,"Medium",2,12,2,"Better",10,6,8,8,"No"
39,"Travel_Rarely","Research & Development",10,"Below College","Medical","High","Male","High","Low","Excellent",4,"Manager","Married",17068,1,"Yes",14,"Very High",0,21,3,"Better",21,9,11,10,"No"
43,"Travel_Frequently","Research & Development",10,"Master","Life Sciences","High","Female","High","Very High","Excellent",1,"Laboratory Technician","Single",2455,0,"No",19,"Low",0,9,5,"Better",8,7,1,7,"No"
49,"Travel_Rarely","Research & Development",1,"College","Technical Degree","High","Female","Medium","High","Excellent",4,"Healthcare Representative","Single",13964,7,"Yes",12,"Very High",0,25,2,"Better",7,1,0,7,"No"
52,"Travel_Rarely","Research & Development",8,"Master","Medical","High","Male","Medium","Medium","Excellent",2,"Research Scientist","Married",4941,2,"No",15,"Low",0,11,3,"Good",8,2,7,7,"Yes"
27,"Travel_Rarely","Research & Development",5,"Bachelor","Life Sciences","High","Female","High","Medium","Excellent",1,"Research Scientist","Single",2478,1,"Yes",12,"Medium",0,4,2,"Good",4,3,1,2,"No"
32,"Travel_Rarely","Sales",8,"College","Technical Degree","High","Female","Medium","Medium","Excellent",2,"Sales Executive","Married",5228,1,"Yes",11,"Very High",0,13,2,"Better",13,12,11,9,"No"
27,"Travel_Rarely","Sales",2,"Bachelor","Life Sciences","Very High","Male","High","High","Excellent",2,"Sales Executive","Single",4478,1,"Yes",11,"Low",0,5,3,"Better",5,4,0,4,"No"
31,"Travel_Rarely","Sales",7,"Bachelor","Marketing","Very High","Male","High","Very High","Excellent",2,"Sales Executive","Divorced",7547,4,"No",12,"Very High",3,13,3,"Better",7,7,1,7,"No"
32,"Travel_Rarely","Research & Development",2,"Master","Medical","Low","Female","Very High","Very High","Excellent",2,"Research Scientist","Single",5055,7,"No",16,"High",0,10,0,"Good",7,7,0,7,"No"
28,"Travel_Rarely","Research & Development",2,"Master","Medical","Low","Male","Low","Very High","Excellent",1,"Research Scientist","Married",3464,5,"Yes",13,"Very High",0,5,4,"Good",3,2,2,2,"Yes"
30,"Travel_Rarely","Research & Development",28,"College","Medical","Very High","Female","High","Very High","Excellent",2,"Research Scientist","Married",5775,1,"No",13,"Very High",2,11,2,"Better",10,8,1,9,"No"
31,"Travel_Frequently","Research & Development",7,"College","Life Sciences","High","Female","Medium","High","Outstanding",3,"Manufacturing Director","Married",8943,1,"No",24,"Low",1,10,2,"Better",10,9,8,9,"No"
39,"Travel_Frequently","Research & Development",7,"College","Medical","High","Male","Medium","Very High","Excellent",5,"Manager","Married",19272,1,"No",15,"Low",1,21,2,"Better",21,9,13,3,"No"
39,"Travel_Rarely","Sales",3,"College","Medical","Very High","Female","High","High","Excellent",2,"Sales Executive","Married",5238,4,"Yes",18,"Low",0,12,3,"Good",1,0,0,0,"Yes"
33,"Travel_Frequently","Sales",10,"Bachelor","Marketing","Medium","Male","Medium","Very High","Excellent",2,"Sales Executive","Single",4682,3,"No",14,"High",0,9,6,"Good",7,7,0,1,"No"
47,"Travel_Rarely","Research & Development",5,"Doctor","Life Sciences","Very High","Male","High","High","Excellent",5,"Research Director","Married",18300,4,"No",11,"Medium",1,21,2,"Better",3,2,1,1,"No"
43,"Travel_Frequently","Research & Development",10,"Master","Life Sciences","High","Female","Medium","High","Excellent",2,"Laboratory Technician","Divorced",5257,1,"No",11,"Medium",1,9,3,"Best",9,7,0,0,"No"
27,"Non-Travel","Sales",1,"Below College","Marketing","High","Male","High","Medium","Excellent",2,"Sales Executive","Married",6349,0,"Yes",13,"Very High",1,6,0,"Better",5,4,1,4,"No"
54,"Travel_Frequently","Research & Development",20,"Master","Life Sciences","Very High","Female","High","High","Excellent",2,"Research Scientist","Single",4869,3,"No",12,"Very High",0,20,4,"Good",4,3,0,3,"No"
43,"Travel_Rarely","Research & Development",7,"Bachelor","Life Sciences","High","Female","High","Low","Excellent",3,"Healthcare Representative","Married",9985,8,"No",16,"Low",1,10,1,"Good",1,0,0,0,"No"
45,"Travel_Rarely","Research & Development",8,"Master","Other","Very High","Male","High","Very High","Excellent",2,"Research Scientist","Married",3697,9,"No",14,"Low",2,12,3,"Better",10,9,9,8,"No"
40,"Travel_Rarely","Sales",1,"College","Medical","Medium","Male","Low","Very High","Outstanding",2,"Sales Executive","Married",7457,2,"Yes",22,"High",3,6,2,"Good",4,3,0,2,"No"
29,"Travel_Rarely","Research & Development",8,"Master","Other","Medium","Male","Low","Low","Excellent",1,"Laboratory Technician","Married",2119,1,"Yes",11,"Very High",0,7,4,"Good",7,7,0,7,"Yes"
29,"Travel_Rarely","Research & Development",9,"Doctor","Other","Medium","Male","Medium","Very High","Excellent",1,"Laboratory Technician","Single",3983,0,"No",17,"High",0,4,2,"Better",3,2,2,2,"No"
30,"Travel_Rarely","Sales",5,"Bachelor","Marketing","Very High","Female","Medium","High","Excellent",2,"Sales Executive","Divorced",6118,1,"No",13,"High",3,10,2,"Better",10,9,1,2,"No"
27,"Travel_Rarely","Sales",8,"Master","Marketing","Medium","Female","High","Medium","Excellent",2,"Sales Executive","Married",6214,1,"No",18,"Low",1,8,3,"Better",8,7,0,7,"No"
37,"Travel_Rarely","Research & Development",5,"College","Medical","Very High","Male","High","Very High","Excellent",2,"Manufacturing Director","Divorced",6347,7,"No",16,"High",2,8,2,"Good",6,2,0,4,"No"
38,"Travel_Rarely","Research & Development",15,"College","Life Sciences","High","Male","Medium","Very High","Excellent",3,"Research Director","Divorced",11510,0,"Yes",14,"Medium",1,12,3,"Better",11,10,2,9,"No"
31,"Travel_Rarely","Research & Development",7,"Master","Medical","High","Female","High","Very High","Excellent",3,"Manufacturing Director","Single",7143,1,"Yes",14,"High",0,11,2,"Good",11,9,4,10,"No"
29,"Travel_Rarely","Sales",10,"Below College","Marketing","Very High","Female","Medium","Medium","Excellent",2,"Sales Executive","Divorced",8268,1,"Yes",14,"Low",2,7,2,"Better",7,7,1,7,"No"
35,"Travel_Rarely","Research & Development",5,"Master","Technical Degree","High","Male","High","Medium","Excellent",3,"Manufacturing Director","Single",8095,0,"No",13,"Very High",0,17,5,"Better",16,6,0,13,"No"
23,"Travel_Rarely","Research & Development",26,"Below College","Life Sciences","High","Male","High","Very High","Excellent",1,"Research Scientist","Divorced",2904,1,"No",12,"High",2,4,2,"Good",4,2,0,2,"No"
41,"Travel_Rarely","Research & Development",6,"Bachelor","Medical","Very High","Male","Medium","Medium","Excellent",2,"Manufacturing Director","Single",6032,6,"Yes",15,"Very High",0,8,3,"Better",5,4,1,2,"No"
47,"Travel_Frequently","Sales",4,"Below College","Medical","Medium","Male","High","High","Excellent",2,"Sales Representative","Single",2976,3,"No",19,"Low",0,5,3,"Better",0,0,0,0,"No"
42,"Travel_Rarely","Research & Development",23,"Doctor","Life Sciences","Low","Female","High","Very High","Excellent",4,"Research Director","Single",15992,2,"No",14,"Medium",0,16,2,"Better",1,0,0,0,"No"
29,"Non-Travel","Sales",2,"Bachelor","Life Sciences","Very High","Male","High","High","Excellent",2,"Sales Executive","Married",4649,1,"No",14,"Low",1,4,3,"Good",4,3,0,2,"No"
42,"Travel_Rarely","Human Resources",2,"Below College","Technical Degree","High","Male","High","High","Excellent",1,"Human Resources","Divorced",2696,0,"Yes",11,"High",1,4,5,"Better",3,2,1,0,"No"
32,"Travel_Rarely","Research & Development",2,"Bachelor","Medical","High","Female","High","Medium","Excellent",1,"Laboratory Technician","Married",2370,1,"No",13,"High",1,8,4,"Better",8,0,0,7,"No"
48,"Travel_Rarely","Sales",29,"Below College","Medical","Low","Female","High","High","Outstanding",3,"Manager","Married",12504,3,"No",21,"Medium",1,15,3,"Bad",0,0,0,0,"No"
37,"Travel_Rarely","Research & Development",6,"Bachelor","Medical","High","Male","Very High","Low","Excellent",2,"Research Scientist","Divorced",5974,4,"Yes",13,"Low",2,13,2,"Better",7,7,6,7,"No"
30,"Non-Travel","Sales",25,"College","Technical Degree","Very High","Female","High","High","Excellent",2,"Sales Executive","Married",4736,7,"Yes",12,"Medium",1,4,2,"Best",2,2,2,2,"No"
26,"Travel_Rarely","Sales",1,"Bachelor","Life Sciences","High","Male","High","High","Excellent",2,"Sales Executive","Married",5296,1,"No",17,"Medium",1,8,3,"Better",8,7,7,7,"No"
42,"Travel_Rarely","Research & Development",2,"Master","Other","Low","Male","Medium","Very High","Outstanding",2,"Healthcare Representative","Single",6781,3,"No",23,"Medium",0,14,6,"Better",1,0,0,0,"No"
21,"Travel_Frequently","Sales",1,"Below College","Technical Degree","Low","Female","Medium","Medium","Excellent",1,"Sales Representative","Single",2174,1,"Yes",11,"High",0,3,3,"Better",3,2,1,2,"Yes"
36,"Non-Travel","Sales",1,"Doctor","Medical","Very High","Female","High","Very High","Excellent",2,"Sales Executive","Single",6653,4,"No",15,"Medium",0,7,6,"Better",1,0,0,0,"No"
36,"Travel_Frequently","Sales",3,"Master","Medical","Low","Male","Medium","Very High","Excellent",3,"Sales Executive","Married",9699,4,"No",11,"Low",1,16,2,"Better",13,9,1,12,"No"
57,"Travel_Rarely","Research & Development",1,"Master","Medical","Very High","Male","High","High","Excellent",2,"Healthcare Representative","Married",6755,2,"No",11,"High",0,15,2,"Better",3,2,1,2,"No"
40,"Travel_Rarely","Research & Development",10,"Master","Life Sciences","Very High","Female","Very High","High","Excellent",1,"Laboratory Technician","Married",2213,3,"Yes",13,"High",1,10,3,"Better",7,7,1,7,"No"
21,"Non-Travel","Sales",9,"College","Medical","Low","Male","High","Very High","Outstanding",1,"Sales Representative","Single",2610,1,"No",24,"High",0,3,3,"Good",3,2,2,2,"No"
33,"Travel_Rarely","Sales",5,"Bachelor","Marketing","Very High","Female","High","High","Excellent",1,"Sales Representative","Single",2851,1,"Yes",13,"Medium",0,1,2,"Better",1,0,0,0,"Yes"
37,"Travel_Rarely","Research & Development",10,"Bachelor","Medical","High","Female","High","Low","Outstanding",1,"Laboratory Technician","Married",3452,6,"No",20,"Medium",1,17,3,"Better",5,4,0,3,"No"
46,"Non-Travel","Research & Development",7,"Master","Medical","High","Female","High","High","Excellent",2,"Manufacturing Director","Married",5258,2,"No",14,"High",0,7,2,"Best",1,0,0,0,"No"
41,"Travel_Frequently","Sales",4,"Bachelor","Marketing","Low","Male","High","Medium","Excellent",2,"Sales Executive","Single",9355,1,"No",18,"High",0,8,5,"Better",8,7,7,7,"Yes"
50,"Travel_Rarely","Research & Development",10,"Bachelor","Technical Degree","Very High","Male","Medium","Very High","Excellent",3,"Healthcare Representative","Single",10496,6,"No",15,"Very High",0,20,2,"Better",4,3,1,3,"No"
40,"Travel_Rarely","Sales",22,"College","Marketing","High","Male","Medium","High","Excellent",2,"Sales Executive","Married",6380,2,"Yes",12,"Low",2,8,6,"Better",6,4,1,0,"Yes"
31,"Travel_Rarely","Research & Development",9,"Master","Life Sciences","High","Male","Medium","Medium","Excellent",1,"Research Scientist","Single",2657,0,"Yes",16,"Very High",0,3,5,"Better",2,2,2,2,"No"
21,"Travel_Rarely","Sales",12,"Bachelor","Life Sciences","High","Female","Very High","Medium","Excellent",1,"Sales Representative","Single",2716,1,"No",15,"Very High",0,1,0,"Better",1,0,0,0,"Yes"
29,"Travel_Rarely","Research & Development",23,"Bachelor","Life Sciences","Very High","Male","High","Very High","Excellent",1,"Research Scientist","Single",2201,9,"No",16,"Very High",0,6,4,"Better",3,2,1,2,"No"
35,"Travel_Rarely","Research & Development",9,"Master","Life Sciences","High","Male","Medium","Medium","Excellent",2,"Healthcare Representative","Single",6540,9,"No",19,"High",0,10,5,"Better",1,1,0,0,"No"
27,"Travel_Rarely","Research & Development",1,"College","Medical","Very High","Male","High","Medium","Excellent",1,"Laboratory Technician","Divorced",3816,1,"No",11,"Medium",1,5,2,"Better",5,2,0,4,"No"
28,"Travel_Rarely","Sales",9,"Master","Life Sciences","Medium","Male","High","Very High","Excellent",2,"Sales Executive","Single",5253,1,"No",16,"Very High",0,7,1,"Better",7,5,0,7,"No"
49,"Travel_Rarely","Research & Development",7,"Bachelor","Other","Medium","Male","Medium","High","Outstanding",3,"Healthcare Representative","Single",10965,8,"No",24,"High",0,26,2,"Better",5,2,0,0,"No"
51,"Travel_Rarely","Sales",14,"College","Life Sciences","High","Female","High","Very High","Excellent",2,"Sales Executive","Married",4936,4,"No",11,"High",1,18,2,"Good",7,7,0,7,"No"
36,"Travel_Rarely","Research & Development",2,"Bachelor","Life Sciences","Very High","Female","High","High","Excellent",1,"Research Scientist","Married",2543,4,"No",13,"Medium",1,6,3,"Better",2,2,2,2,"No"
34,"Non-Travel","Sales",19,"Bachelor","Marketing","Low","Male","Very High","Very High","Excellent",2,"Sales Executive","Single",5304,8,"Yes",13,"Medium",0,9,3,"Good",5,2,0,4,"Yes"
55,"Travel_Rarely","Research & Development",2,"Bachelor","Life Sciences","High","Female","High","Very High","Excellent",4,"Manager","Single",16659,2,"Yes",13,"High",0,30,2,"Better",5,4,1,2,"No"
24,"Travel_Rarely","Sales",10,"Master","Marketing","Very High","Female","High","High","Excellent",2,"Sales Executive","Divorced",4260,1,"Yes",12,"Very High",1,5,2,"Best",5,2,0,3,"No"
30,"Travel_Rarely","Sales",2,"Below College","Technical Degree","High","Male","High","Medium","Excellent",1,"Sales Representative","Married",2476,1,"No",18,"Low",1,1,3,"Better",1,0,0,0,"No"
26,"Travel_Frequently","Research & Development",3,"Below College","Technical Degree","High","Male","High","Low","Outstanding",1,"Research Scientist","Single",3102,0,"No",22,"High",0,7,2,"Better",6,4,0,4,"Yes"
22,"Travel_Rarely","Research & Development",11,"Bachelor","Medical","Low","Female","High","Medium","Excellent",1,"Research Scientist","Married",2244,1,"No",13,"Very High",1,2,1,"Better",2,1,1,2,"No"
36,"Travel_Rarely","Sales",2,"College","Medical","Medium","Male","Medium","High","Excellent",3,"Sales Executive","Married",7596,1,"No",13,"Medium",2,10,2,"Better",10,9,9,0,"No"
30,"Travel_Frequently","Research & Development",4,"Bachelor","Technical Degree","High","Male","High","Very High","Outstanding",1,"Research Scientist","Single",2285,9,"Yes",23,"High",0,3,4,"Better",1,0,0,0,"Yes"
37,"Travel_Rarely","Research & Development",14,"Bachelor","Life Sciences","Very High","Female","High","Low","Excellent",1,"Laboratory Technician","Divorced",3034,1,"No",12,"High",1,18,2,"Good",18,7,12,17,"No"
40,"Travel_Rarely","Sales",2,"College","Marketing","Very High","Female","High","Medium","Excellent",2,"Sales Executive","Divorced",5715,7,"No",12,"High",2,8,5,"Better",5,4,1,3,"No"
42,"Travel_Rarely","Research & Development",1,"Master","Life Sciences","Medium","Female","High","Low","Excellent",1,"Laboratory Technician","Divorced",2576,3,"No",16,"Medium",1,8,5,"Better",5,2,1,2,"No"
37,"Travel_Rarely","Research & Development",10,"Master","Life Sciences","High","Male","High","Medium","Excellent",2,"Manufacturing Director","Single",4197,2,"Yes",12,"Very High",0,18,2,"Good",1,0,0,1,"No"
43,"Travel_Rarely","Research & Development",12,"Bachelor","Life Sciences","Low","Male","Medium","Medium","Excellent",4,"Research Director","Divorced",14336,1,"No",11,"High",1,25,3,"Better",25,10,3,9,"No"
40,"Travel_Rarely","Research & Development",2,"Bachelor","Medical","Medium","Female","Medium","High","Outstanding",2,"Laboratory Technician","Married",3448,6,"No",22,"Medium",1,20,3,"Better",1,0,0,0,"No"
54,"Travel_Rarely","Research & Development",5,"College","Medical","Low","Male","High","Low","Excellent",5,"Research Director","Married",19406,4,"No",11,"High",1,24,4,"Good",4,2,1,2,"No"
34,"Non-Travel","Sales",4,"Master","Marketing","High","Female","High","High","Excellent",2,"Sales Executive","Married",6538,9,"No",15,"Low",1,6,3,"Better",3,2,1,2,"No"
31,"Travel_Rarely","Research & Development",7,"College","Medical","Medium","Female","High","Low","Excellent",2,"Manufacturing Director","Married",4306,1,"No",12,"Medium",1,13,5,"Bad",13,10,3,12,"No"
43,"Travel_Frequently","Research & Development",21,"Bachelor","Medical","Very High","Male","High","Very High","Outstanding",1,"Laboratory Technician","Married",2258,7,"No",20,"Low",1,8,1,"Better",3,2,1,2,"No"
43,"Travel_Rarely","Research & Development",8,"Master","Other","High","Female","High","High","Excellent",2,"Healthcare Representative","Divorced",4522,4,"Yes",14,"Very High",0,8,3,"Better",5,2,0,2,"No"
