"Age","DistanceFromHome","MonthlyIncome","TotalWorkingYears","TrainingTimesLastYear","YearsAtCompany","YearsInCurrentRole","YearsWithCurrManager","Department","EnvironmentSatisfaction","JobInvolvement","JobSatisfaction","JobRole","OverTime","WorkLifeBalance","Attrition"
53,3,17584,21,5,5,3,3,"Research & Development","High","High","High","Research Director","Yes","Good","No"
42,1,4907,20,3,20,16,6,"Sales","Medium","High","High","Sales Executive","No","Better","No"
29,2,4554,10,3,10,7,9,"Sales","Medium","High","Very High","Sales Executive","No","Good","No"
55,20,5415,12,4,10,7,8,"Research & Development","Medium","High","Very High","Laboratory Technician","Yes","Better","No"
26,11,4741,5,3,5,3,3,"Research & Development","Low","High","Low","Healthcare Representative","Yes","Better","No"
37,1,2115,17,3,17,12,7,"Research & Development","Very High","High","Very High","Research Scientist","No","Better","No"
44,24,3161,19,0,1,0,0,"Research & Development","Very High","High","High","Laboratory Technician","Yes","Bad","Yes"
38,23,5745,10,2,2,2,2,"Research & Development","Very High","High","Very High","Healthcare Representative","No","Better","No"
26,16,2373,5,2,3,2,2,"Research & Development","Low","High","Medium","Laboratory Technician","Yes","Better","Yes"
28,8,3310,5,3,5,3,2,"Research & Development","Very High","High","Very High","Research Scientist","No","Better","No"
49,10,18665,22,4,3,2,2,"Research & Development","High","High","Low","Research Director","Yes","Better","No"
36,3,4485,10,2,8,0,7,"Research & Development","High","High","Medium","Research Scientist","No","Better","No"
31,5,2789,2,5,2,2,2,"Sales","Very High","High","Medium","Sales Representative","No","Good","No"
26,4,5828,8,0,8,7,4,"Sales","Very High","Medium","Very High","Sales Executive","Yes","Better","Yes"
37,9,2326,4,3,4,2,2,"Research & Development","Medium","High","Very High","Research Scientist","Yes","Good","No"
42,26,13525,23,2,20,4,8,"Sales","High","High","Medium","Sales Executive","No","Best","No"
18,3,1420,0,2,0,0,0,"Research & Development","High","High","High","Laboratory Technician","No","Better","Yes"
35,16,8020,12,3,11,9,9,"Sales","High","High","Medium","Sales Executive","No","Good","No"
36,18,3688,4,2,1,0,0,"Research & Development","High","Very High","Very High","Laboratory Technician","No","Better","No"
51,2,5482,13,3,4,1,2,"Research & Development","Very High","Low","Medium","Manufacturing Director","No","Better","No"
41,2,16015,22,2,22,10,4,"Sales","Very High","High","Medium","Manager","No","Better","No"
18,10,1200,0,2,0,0,0,"Sales","Very High","Medium","High","Sales Representative","No","Better","No"
28,16,5661,9,2,8,3,7,"Research & Development","Medium","Very High","Low","Healthcare Representative","No","Better","No"
31,7,6929,10,3,8,7,7,"Sales","Medium","Very High","Very High","Sales Executive","No","Good","No"
39,1,9613,19,5,18,10,7,"Research & Development","High","Very High","Very High","Healthcare Representative","No","Good","No"
36,24,5674,11,3,9,8,8,"Research & Development","Medium","High","Medium","Laboratory Technician","No","Better","No"
32,7,5484,13,3,13,8,8,"Sales","Very High","Medium","High","Sales Executive","No","Good","No"
38,25,12061,19,2,10,8,1,"Research & Development","Low","Medium","Medium","Research Director","No","Better","No"
58,1,5660,12,2,5,3,2,"Research & Development","Very High","Low","High","Healthcare Representative","Yes","Better","No"
31,5,4821,6,4,5,2,3,"Research & Development","High","High","Very High","Research Scientist","Yes","Better","No"
31,2,6410,9,1,2,2,0,"Human Resources","Low","Medium","Low","Human Resources","No","Better","No"
45,7,5210,24,2,24,9,11,"Research & Development","Low","High","Low","Laboratory Technician","No","Better","No"
31,2,2695,3,2,2,2,2,"Research & Development","High","High","Very High","Research Scientist","Yes","Bad","No"
33,5,11878,12,2,10,6,8,"Research & Development","Very High","High","Medium","Manager","No","Better","No"
39,10,17068,21,3,21,9,10,"Research & Development","High","High","Low","Manager","Yes","Better","No"
43,10,2455,9,5,8,7,7,"Research & Development","High","High","Very High","Laboratory Technician","No","Better","No"
49,1,13964,25,2,7,1,7,"Research & Development","High","Medium","High","Healthcare Representative","Yes","Better","No"
52,8,4941,11,3,8,2,7,"Research & Development","High","Medium","Medium","Research Scientist","No","Good","Yes"
27,5,2478,4,2,4,3,2,"Research & Development","High","High","Medium","Research Scientist","Yes","Good","No"
32,8,5228,13,2,13,12,9,"Sales","High","Medium","Medium","Sales Executive","Yes","Better","No"
27,2,4478,5,3,5,4,4,"Sales","Very High","High","High","Sales Executive","Yes","Better","No"
31,7,7547,13,3,7,7,7,"Sales","Very High","High","Very High","Sales Executive","No","Better","No"
32,2,5055,10,0,7,7,7,"Research & Development","Low","Very High","Very High","Research Scientist","No","Good","No"
28,2,3464,5,4,3,2,2,"Research & Development","Low","Low","Very High","Research Scientist","Yes","Good","Yes"
30,28,5775,11,2,10,8,9,"Research & Development","Very High","High","Very High","Research Scientist","No","Better","No"
31,7,8943,10,2,10,9,9,"Research & Development","High","Medium","High","Manufacturing Director","No","Better","No"
39,7,19272,21,2,21,9,3,"Research & Development","High","Medium","Very High","Manager","No","Better","No"
39,3,5238,12,3,1,0,0,"Sales","Very High","High","High","Sales Executive","Yes","Good","Yes"
33,10,4682,9,6,7,7,1,"Sales","Medium","Medium","Very High","Sales Executive","No","Good","No"
47,5,18300,21,2,3,2,1,"Research & Development","Very High","High","High","Research Director","No","Better","No"
43,10,5257,9,3,9,7,0,"Research & Development","High","Medium","High","Laboratory Technician","No","Best","No"
27,1,6349,6,0,5,4,4,"Sales","High","High","Medium","Sales Executive","Yes","Better","No"
54,20,4869,20,4,4,3,3,"Research & Development","Very High","High","High","Research Scientist","No","Good","No"
43,7,9985,10,1,1,0,0,"Research & Development","High","High","Low","Healthcare Representative","No","Good","No"
45,8,3697,12,3,10,9,8,"Research & Development","Very High","High","Very High","Research Scientist","No","Better","No"
40,1,7457,6,2,4,3,2,"Sales","Medium","Low","Very High","Sales Executive","Yes","Good","No"
29,8,2119,7,4,7,7,7,"Research & Development","Medium","Low","Low","Laboratory Technician","Yes","Good","Yes"
29,9,3983,4,2,3,2,2,"Research & Development","Medium","Medium","Very High","Laboratory Technician","No","Better","No"
30,5,6118,10,2,10,9,2,"Sales","Very High","Medium","High","Sales Executive","No","Better","No"
27,8,6214,8,3,8,7,7,"Sales","Medium","High","Medium","Sales Executive","No","Better","No"
37,5,6347,8,2,6,2,4,"Research & Development","Very High","High","Very High","Manufacturing Director","No","Good","No"
38,15,11510,12,3,11,10,9,"Research & Development","High","Medium","Very High","Research Director","Yes","Better","No"
31,7,7143,11,2,11,9,10,"Research & Development","High","High","Very High","Manufacturing Director","Yes","Good","No"
29,10,8268,7,2,7,7,7,"Sales","Very High","Medium","Medium","Sales Executive","Yes","Better","No"
35,5,8095,17,5,16,6,13,"Research & Development","High","High","Medium","Manufacturing Director","No","Better","No"
23,26,2904,4,2,4,2,2,"Research & Development","High","High","Very High","Research Scientist","No","Good","No"
41,6,6032,8,3,5,4,2,"Research & Development","Very High","Medium","Medium","Manufacturing Director","Yes","Better","No"
47,4,2976,5,3,0,0,0,"Sales","Medium","High","High","Sales Representative","No","Better","No"
42,23,15992,16,2,1,0,0,"Research & Development","Low","High","Very High","Research Director","No","Better","No"
29,2,4649,4,3,4,3,2,"Sales","Very High","High","High","Sales Executive","No","Good","No"
42,2,2696,4,5,3,2,0,"Human Resources","High","High","High","Human Resources","Yes","Better","No"
32,2,2370,8,4,8,0,7,"Research & Development","High","High","Medium","Laboratory Technician","No","Better","No"
48,29,12504,15,3,0,0,0,"Sales","Low","High","High","Manager","No","Bad","No"
37,6,5974,13,2,7,7,7,"Research & Development","High","Very High","Low","Research Scientist","Yes","Better","No"
30,25,4736,4,2,2,2,2,"Sales","Very High","High","High","Sales Executive","Yes","Best","No"
26,1,5296,8,3,8,7,7,"Sales","High","High","High","Sales Executive","No","Better","No"
42,2,6781,14,6,1,0,0,"Research & Development","Low","Medium","Very High","Healthcare Representative","No","Better","No"
21,1,2174,3,3,3,2,2,"Sales","Low","Medium","Medium","Sales Representative","Yes","Better","Yes"
36,1,6653,7,6,1,0,0,"Sales","Very High","High","Very High","Sales Executive","No","Better","No"
36,3,9699,16,2,13,9,12,"Sales","Low","Medium","Very High","Sales Executive","No","Better","No"
57,1,6755,15,2,3,2,2,"Research & Development","Very High","High","High","Healthcare Representative","No","Better","No"
40,10,2213,10,3,7,7,7,"Research & Development","Very High","Very High","High","Laboratory Technician","Yes","Better","No"
21,9,2610,3,3,3,2,2,"Sales","Low","High","Very High","Sales Representative","No","Good","No"
33,5,2851,1,2,1,0,0,"Sales","Very High","High","High","Sales Representative","Yes","Better","Yes"
37,10,3452,17,3,5,4,3,"Research & Development","High","High","Low","Laboratory Technician","No","Better","No"
46,7,5258,7,2,1,0,0,"Research & Development","High","High","High","Manufacturing Director","No","Best","No"
41,4,9355,8,5,8,7,7,"Sales","Low","High","Medium","Sales Executive","No","Better","Yes"
50,10,10496,20,2,4,3,3,"Research & Development","Very High","Medium","Very High","Healthcare Representative","No","Better","No"
40,22,6380,8,6,6,4,0,"Sales","High","Medium","High","Sales Executive","Yes","Better","Yes"
31,9,2657,3,5,2,2,2,"Research & Development","High","Medium","Medium","Research Scientist","Yes","Better","No"
21,12,2716,1,0,1,0,0,"Sales","High","Very High","Medium","Sales Representative","No","Better","Yes"
29,23,2201,6,4,3,2,2,"Research & Development","Very High","High","Very High","Research Scientist","No","Better","No"
35,9,6540,10,5,1,1,0,"Research & Development","High","Medium","Medium","Healthcare Representative","No","Better","No"
27,1,3816,5,2,5,2,4,"Research & Development","Very High","High","Medium","Laboratory Technician","No","Better","No"
28,9,5253,7,1,7,5,7,"Sales","Medium","High","Very High","Sales Executive","No","Better","No"
49,7,10965,26,2,5,2,0,"Research & Development","Medium","Medium","High","Healthcare Representative","No","Better","No"
51,14,4936,18,2,7,7,7,"Sales","High","High","Very High","Sales Executive","No","Good","No"
36,2,2543,6,3,2,2,2,"Research & Development","Very High","High","High","Research Scientist","No","Better","No"
34,19,5304,9,3,5,2,4,"Sales","Low","Very High","Very High","Sales Executive","Yes","Good","Yes"
55,2,16659,30,2,5,4,2,"Research & Development","High","High","Very High","Manager","Yes","Better","No"
24,10,4260,5,2,5,2,3,"Sales","Very High","High","High","Sales Executive","Yes","Best","No"
30,2,2476,1,3,1,0,0,"Sales","High","High","Medium","Sales Representative","No","Better","No"
26,3,3102,7,2,6,4,4,"Research & Development","High","High","Low","Research Scientist","No","Better","Yes"
22,11,2244,2,1,2,1,2,"Research & Development","Low","High","Medium","Research Scientist","No","Better","No"
36,2,7596,10,2,10,9,0,"Sales","Medium","Medium","High","Sales Executive","No","Better","No"
30,4,2285,3,4,1,0,0,"Research & Development","High","High","Very High","Research Scientist","Yes","Better","Yes"
37,14,3034,18,2,18,7,17,"Research & Development","Very High","High","Low","Laboratory Technician","No","Good","No"
40,2,5715,8,5,5,4,3,"Sales","Very High","High","Medium","Sales Executive","No","Better","No"
42,1,2576,8,5,5,2,2,"Research & Development","Medium","High","Low","Laboratory Technician","No","Better","No"
37,10,4197,18,2,1,0,1,"Research & Development","High","High","Medium","Manufacturing Director","Yes","Good","No"
43,12,14336,25,3,25,10,9,"Research & Development","Low","Medium","Medium","Research Director","No","Better","No"
40,2,3448,20,3,1,0,0,"Research & Development","Medium","Medium","High","Laboratory Technician","No","Better","No"
54,5,19406,24,4,4,2,2,"Research & Development","Low","High","Low","Research Director","No","Good","No"
34,4,6538,6,3,3,2,2,"Sales","High","High","High","Sales Executive","No","Better","No"
31,7,4306,13,5,13,10,12,"Research & Development","Medium","High","Low","Manufacturing Director","No","Bad","No"
43,21,2258,8,1,3,2,2,"Research & Development","Very High","High","Very High","Laboratory Technician","No","Better","No"
43,8,4522,8,3,5,2,2,"Research & Development","High","High","High","Healthcare Representative","Yes","Better","No"
25,4,4487,5,3,5,4,3,"Sales","Medium","Medium","Very High","Sales Executive","Yes","Better","No"
37,25,4449,15,2,13,11,7,"Research & Development","Medium","High","High","Research Scientist","Yes","Better","No"
31,1,2218,4,3,4,2,2,"Research & Development","Very High","Medium","Low","Laboratory Technician","No","Better","No"
39,1,19197,21,3,21,8,6,"Research & Development","Medium","High","High","Manager","Yes","Better","No"
56,6,13212,36,0,7,7,7,"Sales","High","Very High","Low","Sales Executive","No","Good","No"
30,12,6577,6,6,5,4,4,"Sales","Medium","High","High","Sales Executive","No","Better","No"
41,1,8392,10,2,10,7,7,"Sales","Medium","Very High","Low","Sales Executive","No","Better","No"
28,17,4558,10,2,10,0,8,"Research & Development","High","High","Low","Laboratory Technician","No","Better","No"
25,3,4031,6,5,2,2,2,"Research & Development","Low","High","Low","Laboratory Technician","No","Better","Yes"
52,3,7969,28,4,5,4,4,"Research & Development","Very High","Medium","High","Manufacturing Director","Yes","Better","No"
45,10,2654,8,3,2,2,2,"Research & Development","Low","High","Very High","Research Scientist","No","Good","No"
52,4,16555,31,2,5,2,4,"Research & Development","Very High","High","Very High","Manager","No","Bad","No"
42,29,4556,19,3,5,4,2,"Research & Development","Low","High","High","Research Scientist","No","Better","No"
30,2,6091,11,2,5,4,2,"Research & Development","High","Low","Very High","Manufacturing Director","No","Better","No"
60,7,19566,33,5,29,8,10,"Research & Development","Low","High","Low","Manager","No","Bad","No"
46,18,4810,19,5,10,7,8,"Research & Development","High","High","High","Manufacturing Director","No","Good","No"
42,28,4523,7,4,6,5,4,"Research & Development","Very High","Medium","Very High","Healthcare Representative","No","Best","No"
24,1,3202,6,4,5,3,4,"Sales","Low","High","Medium","Sales Representative","Yes","Better","Yes"
34,6,2351,3,3,2,2,0,"Sales","Very High","Low","High","Sales Representative","No","Good","Yes"
38,2,1702,1,3,1,0,0,"Research & Development","Very High","High","Very High","Laboratory Technician","Yes","Better","No"
40,2,18041,21,2,20,15,12,"Sales","High","High","High","Manager","No","Better","No"
26,23,2886,3,3,3,2,2,"Research & Development","Low","High","Very High","Research Scientist","No","Bad","No"
30,3,2097,9,3,5,3,4,"Research & Development","High","High","Very High","Laboratory Technician","No","Bad","No"
29,3,11935,10,2,10,2,7,"Research & Development","Medium","Medium","High","Research Director","No","Better","No"
29,25,2546,6,2,2,2,1,"Research & Development","High","Medium","Medium","Research Scientist","No","Best","Yes"
19,2,2564,1,3,1,0,0,"Human Resources","Low","Medium","Very High","Human Resources","No","Best","Yes"
30,22,8412,10,3,9,8,8,"Sales","High","High","Low","Sales Executive","No","Better","No"
57,29,14118,32,3,1,0,0,"Sales","Low","Medium","Very High","Manager","No","Good","No"
50,29,17046,28,2,27,10,7,"Research & Development","Medium","Medium","High","Manager","No","Better","No"
30,2,2564,12,2,11,7,7,"Research & Development","High","High","Very High","Laboratory Technician","No","Good","No"
60,28,10266,22,5,18,13,11,"Sales","High","Medium","Low","Sales Executive","No","Best","No"
47,2,5070,20,2,5,0,4,"Research & Development","Low","High","Very High","Manufacturing Director","No","Better","No"
46,2,17861,26,2,3,2,1,"Research & Development","Low","High","High","Research Director","No","Bad","No"
35,22,4230,6,2,5,4,3,"Research & Development","Very High","Low","High","Laboratory Technician","No","Better","No"
54,8,3780,19,3,1,0,0,"Research & Development","High","High","High","Laboratory Technician","No","Better","No"
34,2,2768,14,3,7,3,7,"Research & Development","Very High","Medium","High","Research Scientist","No","Better","No"
46,10,9071,15,3,3,2,2,"Sales","High","Medium","Very High","Sales Executive","Yes","Better","No"
31,9,10648,13,6,13,8,8,"Research & Development","High","High","Medium","Manufacturing Director","No","Best","No"
33,15,13610,15,2,7,6,7,"Research & Development","Medium","High","High","Manager","Yes","Best","Yes"
33,10,3408,8,2,4,3,3,"Research & Development","Low","Low","Very High","Laboratory Technician","No","Better","Yes"
30,7,2983,4,3,3,2,2,"Sales","Very High","High","Medium","Sales Representative","No","Better","No"
35,16,7632,10,2,8,7,0,"Research & Development","Very High","High","High","Healthcare Representative","Yes","Better","No"
31,20,9824,12,2,1,0,0,"Research & Development","Low","High","High","Healthcare Representative","No","Better","Yes"
34,23,9950,11,2,3,2,2,"Human Resources","Medium","High","Low","Human Resources","Yes","Better","Yes"
42,5,2093,8,4,2,2,0,"Research & Development","Medium","High","High","Laboratory Technician","No","Better","No"
36,10,9980,10,3,10,3,7,"Sales","Medium","High","Very High","Sales Executive","No","Good","No"
22,4,3894,4,3,2,2,2,"Research & Development","High","Medium","High","Laboratory Technician","No","Better","Yes"
48,2,4051,14,2,9,7,7,"Sales","Medium","High","Very High","Sales Executive","No","Better","No"
55,18,16835,37,2,10,9,7,"Sales","Low","High","Medium","Manager","No","Better","No"
41,10,6230,16,3,14,3,10,"Sales","Very High","High","Very High","Sales Executive","No","Better","No"
35,1,4717,15,2,11,9,9,"Sales","Medium","High","High","Sales Executive","No","Better","No"
40,6,13237,22,3,20,6,13,"Research & Development","Medium","High","High","Manufacturing Director","No","Better","No"
39,8,3755,8,3,8,3,7,"Research & Development","High","High","High","Laboratory Technician","No","Better","No"
31,2,6582,10,2,6,5,5,"Sales","Medium","High","Very High","Sales Executive","Yes","Best","No"
42,24,7406,10,5,10,9,8,"Research & Development","Very High","High","Low","Manufacturing Director","Yes","Good","No"
45,2,4805,9,3,8,7,7,"Sales","Very High","High","Medium","Sales Executive","No","Best","No"
26,17,2741,8,2,7,7,0,"Human Resources","Medium","High","High","Human Resources","Yes","Good","Yes"
29,19,4262,8,2,3,2,2,"Research & Development","Very High","High","Very High","Manufacturing Director","No","Best","No"
33,1,16184,10,2,6,1,5,"Research & Development","Low","Very High","High","Research Director","No","Better","No"
31,7,11557,10,3,5,4,1,"Sales","High","Medium","Very High","Manager","No","Good","No"
18,5,1878,0,3,0,0,0,"Sales","Medium","High","Medium","Sales Representative","Yes","Better","Yes"
40,28,10932,20,2,1,0,1,"Sales","High","Low","Low","Sales Executive","No","Better","No"
41,2,6811,10,3,8,7,7,"Research & Development","Low","Medium","High","Healthcare Representative","Yes","Better","No"
26,29,4306,8,5,0,0,0,"Sales","Low","High","High","Sales Executive","No","Better","No"
35,1,4859,5,3,5,4,3,"Sales","Low","High","High","Sales Executive","No","Better","No"
34,21,5337,10,3,10,7,7,"Sales","Very High","Very High","Very High","Sales Executive","No","Better","No"
26,24,2340,1,3,1,0,0,"Research & Development","High","Low","Very High","Laboratory Technician","Yes","Bad","Yes"
37,1,7491,12,3,6,5,2,"Research & Development","Medium","High","Very High","Manufacturing Director","No","Best","No"
46,18,10527,28,3,2,2,2,"Research & Development","Low","High","High","Healthcare Representative","No","Good","No"
41,2,16595,22,2,18,16,8,"Sales","Medium","High","Low","Manager","No","Better","No"
37,9,8834,9,6,9,5,7,"Sales","Low","High","Medium","Sales Executive","No","Better","No"
52,6,5577,18,3,10,9,9,"Research & Development","Very High","High","Low","Research Scientist","Yes","Better","No"
32,11,4707,6,2,4,2,2,"Sales","Very High","Very High","High","Sales Executive","No","Better","Yes"
24,24,2400,3,3,2,2,1,"Sales","Very High","High","Very High","Sales Representative","No","Better","No"
38,10,9824,18,4,1,0,0,"Research & Development","High","High","High","Healthcare Representative","No","Better","No"
37,1,6447,8,2,6,5,3,"Research & Development","Medium","High","Medium","Manufacturing Director","No","Good","No"
49,18,19502,31,5,31,9,9,"Research & Development","Very High","Medium","High","Research Director","Yes","Better","No"
24,23,2725,6,3,6,5,4,"Research & Development","Medium","Very High","Very High","Research Scientist","Yes","Better","No"
26,28,6272,6,5,5,3,4,"Sales","Low","High","Medium","Sales Executive","No","Best","No"
24,17,2127,1,2,1,0,0,"Research & Development","Very High","Medium","Medium","Laboratory Technician","No","Better","No"
50,3,18200,32,2,32,5,7,"Human Resources","Low","High","Medium","Manager","No","Better","No"
25,13,2096,7,1,7,4,6,"Sales","Medium","High","High","Sales Representative","No","Better","No"
24,7,2886,6,4,6,3,2,"Research & Development","Low","High","High","Laboratory Technician","Yes","Better","Yes"
30,12,2033,1,2,1,0,0,"Sales","Medium","Medium","Low","Sales Representative","No","Best","Yes"
34,1,3622,6,3,6,5,3,"Research & Development","Medium","Medium","Very High","Research Scientist","Yes","Better","No"
31,13,4233,9,2,3,1,2,"Sales","Medium","High","Low","Sales Executive","No","Bad","Yes"
35,25,3681,9,3,3,2,2,"Research & Development","Low","Medium","Very High","Laboratory Technician","No","Better","No"
31,6,5460,13,4,7,7,7,"Sales","Low","Very High","Very High","Sales Executive","No","Best","No"
27,6,2187,6,5,5,3,3,"Research & Development","Low","Medium","High","Research Scientist","No","Good","No"
37,2,9602,17,3,3,0,0,"Sales","Very High","High","High","Sales Executive","Yes","Good","No"
20,1,2836,1,0,1,0,0,"Research & Development","Very High","Medium","Medium","Research Scientist","No","Best","No"
42,2,4089,10,4,10,2,2,"Research & Development","High","High","Very High","Healthcare Representative","No","Better","No"
43,6,16627,21,3,1,0,0,"Research & Development","Medium","Medium","Very High","Research Director","Yes","Good","No"
38,1,2619,8,3,0,0,0,"Research & Development","High","High","Low","Research Scientist","No","Good","No"
43,9,5679,10,3,8,7,7,"Research & Development","Very High","High","High","Laboratory Technician","Yes","Better","No"
48,1,15402,21,3,3,2,2,"Research & Development","Very High","Medium","Low","Manager","No","Bad","No"
44,1,5985,10,1,2,2,2,"Human Resources","Low","Medium","High","Human Resources","No","Best","No"
34,14,2579,8,3,8,2,6,"Sales","High","High","High","Sales Representative","Yes","Better","No"
27,2,3041,5,3,4,3,2,"Sales","High","High","Low","Sales Representative","No","Better","Yes"
21,22,3447,3,2,3,2,2,"Sales","High","High","High","Sales Representative","No","Better","No"
44,3,19513,26,2,2,2,1,"Research & Development","Very High","High","Very High","Manager","Yes","Best","No"
22,6,2773,3,3,2,2,2,"Research & Development","Low","High","High","Research Scientist","No","Better","No"
33,8,7104,6,3,5,0,2,"Sales","High","High","High","Sales Executive","No","Better","No"
32,9,6322,6,2,6,4,5,"Research & Development","Low","High","Very High","Research Scientist","Yes","Good","No"
30,3,2083,1,2,1,0,0,"Research & Development","High","High","High","Research Scientist","No","Better","No"
53,1,8381,18,2,14,7,10,"Sales","Very High","High","Low","Sales Executive","No","Best","No"
34,1,2691,10,4,10,9,8,"Research & Development","Medium","High","Very High","Research Scientist","No","Good","No"
45,26,4286,5,4,1,1,0,"Sales","Low","High","Low","Sales Executive","No","Better","Yes"
26,6,2659,3,2,3,2,2,"Research & Development","High","High","Very High","Laboratory Technician","Yes","Better","No"
37,3,9434,10,2,10,7,8,"Research & Development","High","High","High","Manufacturing Director","No","Better","No"
29,3,5561,6,5,6,0,2,"Sales","Medium","High","High","Sales Executive","No","Good","No"
35,6,6646,17,3,17,11,8,"Research & Development","Medium","Low","Very High","Research Scientist","No","Better","No"
33,6,7725,15,2,13,11,7,"Research & Development","High","High","Very High","Healthcare Representative","No","Bad","No"
54,19,10725,16,1,9,7,1,"Human Resources","High","High","Medium","Human Resources","No","Best","No"
36,9,8847,13,2,3,2,2,"Research & Development","Medium","Medium","Medium","Manufacturing Director","Yes","Better","No"
27,3,2045,5,0,4,2,1,"Research & Development","Low","Medium","Very High","Research Scientist","No","Better","No"
20,10,1009,1,5,1,0,1,"Research & Development","Very High","High","High","Research Scientist","Yes","Better","Yes"
33,3,3348,10,3,10,8,7,"Research & Development","Low","High","Low","Research Scientist","Yes","Better","Yes"
35,3,1281,1,3,1,0,0,"Research & Development","High","Medium","High","Laboratory Technician","No","Better","No"
23,4,2819,5,3,3,2,2,"Research & Development","Low","Very High","Low","Research Scientist","No","Best","No"
25,8,4851,4,4,3,2,2,"Sales","Very High","Very High","Medium","Sales Executive","No","Better","No"
38,7,4028,8,2,7,7,5,"Sales","Very High","Medium","Very High","Sales Executive","No","Better","No"
29,1,2720,10,5,10,7,8,"Research & Development","Medium","Low","Very High","Research Scientist","No","Better","No"
48,2,8120,12,3,2,2,2,"Sales","Medium","Very High","Medium","Sales Executive","No","Better","No"
27,3,4647,6,3,6,5,4,"Sales","Very High","Very High","Very High","Sales Executive","Yes","Better","No"
37,10,4680,4,2,1,0,0,"Research & Development","Very High","Very High","Very High","Research Scientist","No","Better","No"
50,28,3221,20,3,20,8,8,"Research & Development","Very High","Very High","High","Laboratory Technician","Yes","Better","No"
34,9,8621,9,3,8,7,7,"Research & Development","Very High","Medium","Medium","Healthcare Representative","No","Best","No"
24,3,4577,4,3,2,2,0,"Sales","Low","High","High","Sales Executive","No","Better","Yes"
39,2,4553,20,4,20,7,10,"Research & Development","Very High","Medium","High","Healthcare Representative","No","Better","No"
32,10,5396,10,2,10,7,8,"Sales","Very High","High","Very High","Sales Executive","No","Good","No"
50,8,6796,18,4,4,3,3,"Sales","Medium","High","High","Sales Executive","Yes","Better","Yes"
38,1,7625,10,4,9,7,8,"Research & Development","Medium","Very High","Very High","Healthcare Representative","No","Good","No"
27,1,7412,9,3,9,7,7,"Research & Development","High","High","Low","Manufacturing Director","No","Better","No"
32,3,11159,10,6,7,7,7,"Research & Development","High","High","Very High","Research Director","No","Better","No"
47,14,4960,20,2,7,7,7,"Sales","Very High","High","Low","Sales Executive","No","Better","No"
40,5,10475,20,2,18,13,12,"Sales","Very High","Medium","Low","Sales Executive","Yes","Better","No"
53,7,14814,32,3,5,1,3,"Research & Development","High","Very High","High","Research Director","No","Better","No"
41,10,19141,23,2,21,6,6,"Human Resources","Medium","Medium","Very High","Manager","No","Good","No"
60,16,5405,10,1,2,2,2,"Sales","Low","High","Low","Sales Executive","No","Better","No"
27,10,8793,9,4,9,7,7,"Research & Development","Very High","High","Low","Manufacturing Director","No","Good","No"
41,1,19189,22,3,22,7,10,"Human Resources","Very High","Medium","High","Manager","No","Better","No"
50,8,3875,4,2,2,2,2,"Sales","Very High","High","Medium","Sales Representative","No","Better","No"
28,1,2216,10,4,7,7,7,"Research & Development","Low","Low","Medium","Research Scientist","Yes","Better","Yes"
36,8,11713,10,2,8,7,5,"Research & Development","Low","Very High","Low","Research Director","No","Better","No"
38,1,7861,10,4,1,0,0,"Research & Development","High","High","High","Manufacturing Director","Yes","Best","No"
44,24,3708,9,5,5,2,4,"Research & Development","Low","Low","High","Laboratory Technician","No","Better","No"
47,3,13770,28,2,22,2,13,"Sales","Very High","High","High","Sales Executive","Yes","Good","No"
30,27,5304,10,2,8,7,7,"Sales","High","High","Very High","Sales Executive","No","Good","No"
29,10,2642,1,6,1,0,0,"Sales","High","High","High","Sales Representative","No","Better","No"
42,19,2759,7,2,2,2,2,"Research & Development","High","Very High","High","Research Scientist","Yes","Better","Yes"
43,15,6804,7,5,2,2,2,"Sales","Very High","Medium","Very High","Sales Executive","No","Better","No"
34,8,6142,10,2,5,1,3,"Research & Development","Medium","High","High","Healthcare Representative","No","Better","No"
23,9,2500,5,2,4,3,2,"Research & Development","Medium","High","Low","Laboratory Technician","No","Best","No"
39,3,6389,12,3,8,3,6,"Human Resources","High","Very High","Medium","Human Resources","No","Bad","No"
56,9,11103,30,1,10,7,1,"Research & Development","High","High","Very High","Healthcare Representative","No","Good","No"
40,2,2342,5,2,4,2,3,"Research & Development","Very High","Medium","Very High","Research Scientist","Yes","Good","No"
27,7,6811,9,2,7,6,7,"Research & Development","Very High","Medium","Low","Healthcare Representative","No","Bad","No"
29,10,2297,2,2,2,2,2,"Sales","Very High","High","Medium","Sales Representative","No","Better","No"
53,6,2450,19,4,2,2,2,"Research & Development","Very High","High","Very High","Laboratory Technician","No","Better","No"
35,2,5093,16,2,1,0,0,"Research & Development","Very High","High","Low","Healthcare Representative","No","Best","No"
32,24,5309,10,2,10,8,7,"Research & Development","Low","High","Very High","Laboratory Technician","No","Better","No"
38,2,3057,6,0,1,0,1,"Research & Development","Very High","High","High","Research Scientist","Yes","Bad","No"
34,8,5121,7,3,0,0,0,"Research & Development","Medium","High","Low","Manufacturing Director","No","Better","No"
52,3,16856,34,3,34,6,16,"Sales","High","Medium","Low","Manager","No","Best","No"
33,1,2686,10,2,10,9,8,"Research & Development","Very High","High","Very High","Research Scientist","Yes","Good","Yes"
25,26,6180,6,5,6,5,4,"Sales","High","High","Very High","Sales Executive","No","Good","No"
45,2,6632,9,3,8,7,1,"Sales","Medium","Low","High","Sales Representative","No","Better","No"
